AD_LEVEL,TA_ID,TAMBON_E,AM_ID,AMPHOE_E,CH_ID,CHANGWAT_E,LAT,LONG
4,400506,Nong Phai,4005,Chum Phae,40,Khon Kaen,16.565,102.147
4,360605,Kut Nam Sai,3606,Chatturat,36,Chaiyaphum,15.596,101.794
4,670805,Wang Phikun,6708,Bueng Sam Phan,67,Phetchabun,15.747,100.861
4,340507,Nong Phue,3405,Khemarat,34,Ubon Ratchathani,15.950,105.058
4,470602,Pla Lo,4706,Waritchaphum,47,Sakon Nakhon,17.327,103.671
4,670503,Sam Yaek,6705,Wichian Buri,67,Phetchabun,15.709,101.029
4,230702,Ko Chang Tai,2307,Ko Chang,23,Trat,11.996,102.331
4,320301,Tha Tum,3203,Tha Tum,32,Surin,15.295,103.639
4,560106,Ban Tam,5601,Mueang Phayao,56,Phayao,19.216,99.756
4,600706,Nong Pho,6007,Takhli,60,Nakhon Sawan,15.403,100.278
4,630610,Phrathat Pha Daeng,6306,Mae Sot,63,Tak,16.692,98.639
4,610606,Mueang Karung,6106,Ban Rai,61,Uthai Thani,15.177,99.724
4,640207,Wang Luek,6402,Ban Dan Lan Hoi,64,Sukhothai,17.040,99.461
4,450212,Thung Thong,4502,Kaset Wisai,45,Roi Et,15.487,103.451
4,900409,Prakop,9004,Na Thawi,90,Songkhla,6.483,100.643
4,570402,Ngio,5704,Thoeng,57,Chiang Rai,19.697,100.096
4,360305,Huai Rai,3603,Khon Sawan,36,Chaiyaphum,16.021,102.247
4,620703,Nong Luang,6207,Lan Krabue,62,Kamphaeng Phet,16.640,99.780
4,930802,Khok Sai,9308,Pa Bon,93,Phatthalung,7.229,100.229
4,300809,Sa Chorakhe,3008,Dan Khun Thot,30,Nakhon Ratchasima,15.147,101.808
4,521102,Samai,5211,Sop Prap,52,Lampang,17.900,99.421
4,670806,Phaya Wang,6708,Bueng Sam Phan,67,Phetchabun,15.880,100.847
4,800120,Pak Phun,8001,Mueang Nakhon Si Thammarat,80,Nakhon Si Thammarat,8.529,99.997
4,630113,Nong Bua Tai,6301,Mueang Tak,63,Tak,16.795,99.103
4,270302,Thap Sadet,2703,Ta Phraya,27,Sa kaeo,14.047,102.813
4,650606,Si Phirom,6506,Phrom Phiram,65,Phitsanulok,17.094,100.029
4,350307,Phon Ngam,3503,Kut Chum,35,Yasothon,16.045,104.166
4,461306,Pha Sawoei,4613,Somdet,46,Kalasin,16.797,103.863
4,350803,Sawat,3508,Loeng Nok Tha,35,Yasothon,16.153,104.538
4,191109,Sap Sanun,1911,Muak Lek,19,Saraburi,14.932,101.309
4,470904,Phaet,4709,Kham Ta Kla,47,Sakon Nakhon,17.775,103.842
4,502401,Doi Lo,5024,Doi Lo,50,Chiang Mai,18.488,98.798
4,470903,Na Tae,4709,Kham Ta Kla,47,Sakon Nakhon,17.866,103.699
4,340907,Si Wichian,3409,Nam Yuen,34,Ubon Ratchathani,14.483,105.040
4,420305,Pak Tom,4203,Chiang Khan,42,Loei,17.768,101.554
4,530503,Ban Siao,5305,Fak Tha,53,Uttaradit,17.914,100.848
4,840702,Samo Thong,8407,Tha Chana,84,Surat Thani,9.581,99.053
4,270205,Khlong Kai Thuean,2702,Khlong Hat,27,Sa kaeo,13.346,102.301
4,190213,Cham Phak Phaeo,1902,Kaeng Khoi,19,Saraburi,14.529,101.090
4,420705,Lat Khang,4207,Phu Ruea,42,Loei,17.497,101.285
4,700201,Chom Bueng,7002,Chom Bueng,70,Ratchaburi,13.622,99.606
4,841404,Aran Kham Wari,8414,Khian Sa,84,Surat Thani,8.745,99.190
4,160701,Tha Luang,1607,Tha Luang,16,Lop Buri,15.071,101.117
4,361102,Sam Suan,3611,Ban Thaen,36,Chaiyaphum,16.419,102.270
4,630304,Yan Ri,6303,Sam Ngao,63,Tak,17.188,99.022
4,650906,Noen Maprang,6509,Noen Maprang,65,Phitsanulok,16.595,100.626
4,520303,Lai Hin,5203,Ko kha,52,Lampang,18.186,99.255
4,520601,Chae Hom,5206,Chae Hom,52,Lampang,18.700,99.616
4,800304,Kamlon,8003,Lan Saka,80,Nakhon Si Thammarat,8.442,99.757
4,302009,Mittraphap,3020,Si Khio,30,Nakhon Ratchasima,14.797,101.685
4,160802,Mahapho,1608,Sa Bot,16,Lop Buri,15.289,100.861
4,490205,Na Udom,4902,Nikhom Kham Soi,49,Mukdahan,16.274,104.615
4,770102,Ko Lak,7701,Mueang Prachuap Khiri Khan,77,Prachuap Khiri Khan,11.808,99.729
4,402005,Huai Muang,4020,Phu Phaman,40,Khon Kaen,16.765,101.909
4,400802,Ban Dong,4008,Ubolratana,40,Khon Kaen,16.801,102.645
4,350814,Si Kaeo,3508,Loeng Nok Tha,35,Yasothon,16.194,104.332
4,340201,Na Kham,3402,Si Mueang Mai,34,Ubon Ratchathani,15.507,105.327
4,480806,Ban Kha,4808,Si Songkhram,48,Nakhon Phanom,17.666,104.121
4,711304,Sa Long Ruea,7113,Huai Krachao,71,Kanchanaburi,14.357,99.764
4,770703,Hin Lek Fai,7707,Hua Hin,77,Prachuap Khiri Khan,12.592,99.862
4,540307,Thung Laeng,5403,Long,54,Phrae,17.959,99.752
4,671107,Khek Noi,6711,Khao kho,67,Phetchabun,16.832,101.015
4,520110,Ban Sadet,5201,Mueang Lampang,52,Lampang,18.392,99.645
4,710912,Don Ta Phet,7109,Phanom Thuan,71,Kanchanaburi,14.192,99.678
4,390503,Na Di,3905,Suwannakhuha,39,Nong Bua Lam Phu,17.473,102.269
4,420806,Nam Thun,4208,Tha Li,42,Loei,17.592,101.288
4,180703,Saphan Hin,1807,Nong Mamong,18,Chai Nat,15.197,99.827
4,210604,Maenam Khu,2106,Pluak Daeng,21,Rayong,12.908,101.230
4,300208,Ban Mai,3002,Khon Buri,30,Nakhon Ratchasima,14.449,102.207
4,670704,Tha Daeng,6707,Nong Phai,67,Phetchabun,15.957,101.183
4,571205,Tat Khwan,5712,Phaya Mengrai,57,Chiang Rai,19.991,100.184
4,910110,Puyu,9101,Mueang Satun,91,Satun,6.517,100.124
4,481003,Na Khamin,4810,Phon Sawan,48,Nakhon Phanom,17.523,104.513
4,411708,Klang Yai,4117,Ban Phue,41,Udon Thani,17.785,102.375
4,270111,Nong Bon,2701,Mueang Sa Kaeo,27,Sa kaeo,13.850,102.087
4,510204,Tha Khum Ngoen,5102,Mae Tha,51,Lamphun,18.363,98.962
4,302303,Bueng Phalai,3023,Kaeng Sanam Nang,30,Nakhon Ratchasima,15.661,102.236
4,380110,,3801,Bueng Kan,38,Bueng Kan,18.359,103.592
4,570510,Sai Khao,5705,Phan,57,Chiang Rai,19.663,99.733
4,360502,Kut Chum Saeng,3605,Nong Bua Daeng,36,Chaiyaphum,16.012,101.834
4,420701,Nong Bua,4207,Phu Ruea,42,Loei,17.454,101.371
4,220202,Bo,2202,Khlung,22,Chanthaburi,12.412,102.279
4,270403,Ta Lang Nai,2704,Wang Nam Yen,27,Sa kaeo,13.471,102.130
4,210605,Map Yang Phon,2106,Pluak Daeng,21,Rayong,12.970,101.136
4,650612,Dong Prakham,6506,Phrom Phiram,65,Phitsanulok,17.189,100.260
4,301417,Thong Chai Nuea,3014,Pak Thong Chai,30,Nakhon Ratchasima,14.793,102.034
4,320304,Phon Khrok,3203,Tha Tum,32,Surin,15.401,103.725
4,180702,Wang Takhian,1807,Nong Mamong,18,Chai Nat,15.278,99.802
4,841802,Chai Buri,8418,Chai Buri,84,Surat Thani,8.434,99.071
4,620501,Khlong Khlung,6205,Khlong Khlung,62,Kamphaeng Phet,16.176,99.698
