TAMBON_E,AM_ID,AMPHOE_E,CH_ID,CHANGWAT_E,LAT,LONG
Ko Sarai,9101,Mueang Satun,91,Satun,6.546,99.706
Maptaphut,2101,Mueang Rayong,21,Rayong,12.646,101.171
Maptaphut,2101,Mueang Rayong,21,Rayong,12.645,101.17
Maptaphut,2101,Mueang Rayong,21,Rayong,12.649,101.174
Maptaphut,2101,Mueang Rayong,21,Rayong,12.644,101.169
Hat Sai Ri,8601,Mueang Chumphon,86,Chumphon,10.459,99.403
Dan Sawi,8607,Sawi,86,Chumphon,10.291,99.241
Tha Tum,4401,Mueang Maha Sarakham,44,Maha Sarakham,16.162,103.484
Ang Thong,8404,Ko Samui,84,Surat Thani,9.708,99.675
Ang Thong,8404,Ko Samui,84,Surat Thani,9.796,99.713
Ang Thong,8404,Ko Samui,84,Surat Thani,9.677,99.659
Sattahip,2009,Sattahip,20,Chon Buri,12.611,100.889
Tase,9210,Hat Samran,92,Trang,7.033,99.449
Hat Sai Ri,8601,Mueang Chumphon,86,Chumphon,10.477,99.369
Pak Khlong,8603,Pathio,86,Chumphon,10.862,99.486
Pak Tako,8608,Thung Tako,86,Chumphon,10.165,99.176
Pak Khlong,8603,Pathio,86,Chumphon,10.8,99.538
Ko Sarai,9101,Mueang Satun,91,Satun,6.672,99.844
Ang Thong,8404,Ko Samui,84,Surat Thani,9.767,99.668
Hat Sai Ri,8601,Mueang Chumphon,86,Chumphon,10.466,99.359
Pak Tako,8608,Thung Tako,86,Chumphon,10.131,99.165
Ko Sarai,9101,Mueang Satun,91,Satun,6.705,99.799
Tase,9210,Hat Samran,92,Trang,6.984,99.473
Dan Sawi,8607,Sawi,86,Chumphon,10.197,99.221
Pak Tako,8608,Thung Tako,86,Chumphon,10.118,99.216
Tase,9210,Hat Samran,92,Trang,7.067,99.398
Pak Khlong,8603,Pathio,86,Chumphon,10.782,99.53
Bang Kachai,2206,Laem Sing,22,Chanthaburi,12.465,102.066
Tase,9210,Hat Samran,92,Trang,7.016,99.445
Pak Khlong,8603,Pathio,86,Chumphon,10.84,99.497
Ko Sarai,9101,Mueang Satun,91,Satun,6.71,99.794
Ang Thong,8404,Ko Samui,84,Surat Thani,9.707,99.676
Ko Phra Thong,8206,Khura Buri,82,Phang-nga,9.406,97.901
Samae San,2009,Sattahip,20,Chon Buri,12.616,100.918
Tase,9210,Hat Samran,92,Trang,7.075,99.451
Ko Mak,2306,Ko Kut,23,Trat,11.817,102.397
Ang Thong,8404,Ko Samui,84,Surat Thani,9.551,99.694
Ko Sarai,9101,Mueang Satun,91,Satun,6.582,99.719
Ko Phra Thong,8206,Khura Buri,82,Phang-nga,9.495,97.874
Ko Sarai,9101,Mueang Satun,91,Satun,6.551,99.35
Ko Mak,2306,Ko Kut,23,Trat,11.805,102.376
Ko Mak,2306,Ko Kut,23,Trat,11.857,102.525
Ang Thong,8404,Ko Samui,84,Surat Thani,9.681,99.677
Kamphuan,8505,Suk Samran,85,Ranong,9.401,98.392
,9202,Kantang,92,Trang,7.272,99.475
Don Sak,8403,Don Sak,84,Surat Thani,9.31,99.66
Dan Sawi,8607,Sawi,86,Chumphon,10.247,99.249
Ang Thong,8404,Ko Samui,84,Surat Thani,9.699,99.68
Ko Sarai,9101,Mueang Satun,91,Satun,6.675,99.833
Ang Thong,8404,Ko Samui,84,Surat Thani,9.709,99.676
Ko Mak,2306,Ko Kut,23,Trat,11.815,102.398
Ko Mak,2306,Ko Kut,23,Trat,11.819,102.402
Ang Thong,8404,Ko Samui,84,Surat Thani,9.696,99.662
Ko Sarai,9101,Mueang Satun,91,Satun,6.542,99.164
Ko Mak,2306,Ko Kut,23,Trat,11.858,102.523
Ko Libong,9202,Kantang,92,Trang,7.303,99.394
Ko Kaeo,8301,Mueang Phuket,83,Phuket,7.924,98.455
Dan Sawi,8607,Sawi,86,Chumphon,10.222,99.243
Ko Sarai,9101,Mueang Satun,91,Satun,6.524,99.269
Ang Thong,8404,Ko Samui,84,Surat Thani,9.706,99.675
Ang Thong,8404,Ko Samui,84,Surat Thani,9.661,99.659
Ko Phra Thong,8206,Khura Buri,82,Phang-nga,9.472,97.876
Hat Sai Ri,8601,Mueang Chumphon,86,Chumphon,10.486,99.418
Kamphuan,8505,Suk Samran,85,Ranong,9.5,98.374
Ko Mak,2306,Ko Kut,23,Trat,11.808,102.378
Ko Sarai,9101,Mueang Satun,91,Satun,6.515,99.174
Hat Sai Ri,8601,Mueang Chumphon,86,Chumphon,10.506,99.425
Mai Fat,9205,Sikao,92,Trang,7.47,99.32
Si Racha,2007,Si Racha,20,Chon Buri,13.174,100.92
Ang Thong,8404,Ko Samui,84,Surat Thani,9.681,99.667
Hat Sai Ri,8601,Mueang Chumphon,86,Chumphon,10.349,99.295
Khao Thong,8101,Mueang Krabi,81,Krabi,8.049,98.676
Ko Sarai,9101,Mueang Satun,91,Satun,6.485,99.366
Ko Sarai,9101,Mueang Satun,91,Satun,6.655,99.876
Ang Thong,8404,Ko Samui,84,Surat Thani,9.676,99.664
Dan Sawi,8607,Sawi,86,Chumphon,10.208,99.249
Don Sak,8403,Don Sak,84,Surat Thani,9.351,99.72
Ko Sarai,9101,Mueang Satun,91,Satun,6.704,99.871
Pak Nam,8601,Mueang Chumphon,86,Chumphon,10.448,99.253
Tase,9210,Hat Samran,92,Trang,7.144,99.639
Ko Mak,2306,Ko Kut,23,Trat,11.81,102.376
Pak Tako,8608,Thung Tako,86,Chumphon,10.132,99.163
Ang Thong,8404,Ko Samui,84,Surat Thani,9.702,99.664
Dan Sawi,8607,Sawi,86,Chumphon,10.296,99.247
Ko Sarai,9101,Mueang Satun,91,Satun,6.514,99.173
Ko Sarai,9101,Mueang Satun,91,Satun,6.504,99.182
Ang Thong,8404,Ko Samui,84,Surat Thani,9.664,99.677
Karon,8301,Mueang Phuket,83,Phuket,7.821,98.285
Ang Thong,8404,Ko Samui,84,Surat Thani,9.687,99.675
Tase,9210,Hat Samran,92,Trang,7.144,99.631
Maptaphut,2101,Mueang Rayong,21,Rayong,12.648,101.17
Pak Khlong,8603,Pathio,86,Chumphon,10.865,99.489
Ko Sarai,9101,Mueang Satun,91,Satun,6.508,99.173
,9202,Kantang,92,Trang,7.291,99.45
Bo Hin,9205,Sikao,92,Trang,7.549,99.283
Ang Thong,8404,Ko Samui,84,Surat Thani,9.77,99.668
Ang Thong,8404,Ko Samui,84,Surat Thani,9.521,99.711
Ang Thong,8404,Ko Samui,84,Surat Thani,9.8,99.713
Hat Sai Ri,8601,Mueang Chumphon,86,Chumphon,10.426,99.316
Ang Thong,8404,Ko Samui,84,Surat Thani,9.603,99.715
Ko Sarai,9101,Mueang Satun,91,Satun,6.499,99.318
Ko Sarai,9101,Mueang Satun,91,Satun,6.652,99.692
Sattahip,2009,Sattahip,20,Chon Buri,12.646,100.897
Ao Luek Noi,8105,Ao Luek,81,Krabi,8.211,98.687
Kamphuan,8505,Suk Samran,85,Ranong,9.5,98.368
Don Sak,8403,Don Sak,84,Surat Thani,9.315,99.66
Dan Sawi,8607,Sawi,86,Chumphon,10.257,99.227
Ang Thong,8404,Ko Samui,84,Surat Thani,9.672,99.681
Ko Sarai,9101,Mueang Satun,91,Satun,6.514,99.262
Dan Sawi,8607,Sawi,86,Chumphon,10.2,99.249
Ang Thong,8404,Ko Samui,84,Surat Thani,9.542,99.673
Ao Luek Noi,8105,Ao Luek,81,Krabi,8.208,98.691
Pak Tako,8608,Thung Tako,86,Chumphon,10.151,99.204
Ao Luek Noi,8105,Ao Luek,81,Krabi,8.302,98.698
Ko Phayam,8501,Mueang Ranong,85,Ranong,9.877,98.442
Ao Luek Noi,8105,Ao Luek,81,Krabi,8.204,98.69
Ang Thong,8404,Ko Samui,84,Surat Thani,9.671,99.678
Pak Nam,8501,Mueang Ranong,85,Ranong,9.914,98.526
Thep Krasattri,8303,Thalang,83,Phuket,8.116,98.425
Ko Phayam,8501,Mueang Ranong,85,Ranong,9.779,98.477
Ang Thong,8404,Ko Samui,84,Surat Thani,9.771,99.671
Pak Nam,8501,Mueang Ranong,85,Ranong,9.926,98.514
Khao Thong,8101,Mueang Krabi,81,Krabi,8.144,98.717
Samae San,2009,Sattahip,20,Chon Buri,12.549,100.971
Laem Sak,8105,Ao Luek,81,Krabi,8.292,98.616
Ang Thong,8404,Ko Samui,84,Surat Thani,9.673,99.669
Khao Khram,8101,Mueang Krabi,81,Krabi,8.21,98.729
Ko Kaeo,8301,Mueang Phuket,83,Phuket,7.965,98.451
Ko Proet,2206,Laem Sing,22,Chanthaburi,12.424,102.109
Ko Sarai,9101,Mueang Satun,91,Satun,6.548,99.705
Pak Khlong,8603,Pathio,86,Chumphon,10.823,99.492
Pak Tako,8608,Thung Tako,86,Chumphon,10.155,99.218
Ko Sarai,9101,Mueang Satun,91,Satun,6.488,99.334
Na Kluea,2004,Bang Lamung,20,Chon Buri,12.928,100.805
Ko Mak,2306,Ko Kut,23,Trat,11.823,102.385
Ang Thong,8404,Ko Samui,84,Surat Thani,9.482,99.696
Ang Thong,8404,Ko Samui,84,Surat Thani,9.676,99.677
Ang Thong,8404,Ko Samui,84,Surat Thani,9.776,99.672
Kram,2103,Klaeng,21,Rayong,12.584,101.51
Dan Sawi,8607,Sawi,86,Chumphon,10.272,99.233
Ang Thong,8404,Ko Samui,84,Surat Thani,9.556,99.685
Ao Luek Noi,8105,Ao Luek,81,Krabi,8.238,98.708
Khao Thong,8101,Mueang Krabi,81,Krabi,8.176,98.735
Tase,9210,Hat Samran,92,Trang,7.075,99.394
Ko Sarai,9101,Mueang Satun,91,Satun,6.643,99.694
Khao Thong,8101,Mueang Krabi,81,Krabi,8.104,98.682
Pak Tako,8608,Thung Tako,86,Chumphon,10.071,99.185
Bang Hin,8503,Papoe,85,Ranong,9.595,98.469
Ko Sarai,9101,Mueang Satun,91,Satun,6.653,99.833
Hat Sai Ri,8601,Mueang Chumphon,86,Chumphon,10.319,99.3
Samae San,2009,Sattahip,20,Chon Buri,12.603,100.917
Hat Sai Ri,8601,Mueang Chumphon,86,Chumphon,10.363,99.31
Dan Sawi,8607,Sawi,86,Chumphon,10.249,99.224
Ko Sarai,9101,Mueang Satun,91,Satun,6.611,99.7
Rawai,8301,Mueang Phuket,83,Phuket,7.767,98.3
Ang Thong,8404,Ko Samui,84,Surat Thani,9.51,99.705
Ko Sarai,9101,Mueang Satun,91,Satun,6.686,99.905
Ko Sarai,9101,Mueang Satun,91,Satun,6.505,99.177
Khao Thong,8101,Mueang Krabi,81,Krabi,8.129,98.685
Kram,2103,Klaeng,21,Rayong,12.557,101.569
Rawai,8301,Mueang Phuket,83,Phuket,7.736,98.296
Ko Lanta Noi,8103,Ko Lanta,81,Krabi,7.576,99.142
Don Sak,8403,Don Sak,84,Surat Thani,9.331,99.703
Sattahip,2009,Sattahip,20,Chon Buri,12.727,100.798
Ao Luek Noi,8105,Ao Luek,81,Krabi,8.246,98.704
Ang Thong,8404,Ko Samui,84,Surat Thani,9.594,99.721
Ko Phra Thong,8206,Khura Buri,82,Phang-nga,9.396,97.895
Hat Sai Ri,8601,Mueang Chumphon,86,Chumphon,10.39,99.293
Kamphuan,8505,Suk Samran,85,Ranong,9.457,98.328
Na Kluea,2004,Bang Lamung,20,Chon Buri,12.942,100.793
Sattahip,2009,Sattahip,20,Chon Buri,12.612,100.876
Sattahip,2009,Sattahip,20,Chon Buri,12.624,100.901
Ao Nang,8101,Mueang Krabi,81,Krabi,7.616,98.863
Ang Thong,8404,Ko Samui,84,Surat Thani,9.641,99.675
Tase,9210,Hat Samran,92,Trang,7.133,99.583
Ko Pha-Ngan,8405,Ko Pha-ngan,84,Surat Thani,9.802,99.979
Ko Mak,2306,Ko Kut,23,Trat,11.835,102.46
Bang Chan,2202,Khlung,22,Chanthaburi,12.288,102.251
Khao Thong,8101,Mueang Krabi,81,Krabi,8.113,98.707
Ko Libong,9202,Kantang,92,Trang,7.314,99.408
Na Cha-Ang,8601,Mueang Chumphon,86,Chumphon,10.557,99.379
Ko Lanta Noi,8103,Ko Lanta,81,Krabi,7.561,99.144
Ko Sarai,9101,Mueang Satun,91,Satun,6.709,99.671
Ko Sarai,9101,Mueang Satun,91,Satun,6.619,99.689
Khao Thong,8101,Mueang Krabi,81,Krabi,8.124,98.669
Khao Thong,8101,Mueang Krabi,81,Krabi,8.107,98.688
Ko Proet,2206,Laem Sing,22,Chanthaburi,12.396,102.133
Ko Sarai,9101,Mueang Satun,91,Satun,6.665,99.691
Tase,9210,Hat Samran,92,Trang,6.975,99.475
Hat Sai Ri,8601,Mueang Chumphon,86,Chumphon,10.496,99.421
Pak Nam,8501,Mueang Ranong,85,Ranong,9.92,98.535
Ko Sarai,9101,Mueang Satun,91,Satun,6.729,99.66
Ko Mak,2306,Ko Kut,23,Trat,11.808,102.455
Don Sak,8403,Don Sak,84,Surat Thani,9.352,99.683
,8301,Mueang Phuket,83,Phuket,7.834,98.423
Kram,2103,Klaeng,21,Rayong,12.599,101.691
Bo Hin,9205,Sikao,92,Trang,7.559,99.288
Ko Libong,9202,Kantang,92,Trang,7.38,99.248
Ko Sarai,9101,Mueang Satun,91,Satun,6.732,99.706
Sao Chingcha,1001,Phra Nakhon,10,Bangkok,13.753,100.5
Rawai,8301,Mueang Phuket,83,Phuket,7.747,98.301
Ko Phra Thong,8206,Khura Buri,82,Phang-nga,8.519,97.647
San Chaopho Suea,1001,Phra Nakhon,10,Bangkok,13.754,100.497
Bang Kachai,2206,Laem Sing,22,Chanthaburi,12.463,102.023
Samae San,2009,Sattahip,20,Chon Buri,12.572,100.932
Ko Mak,2306,Ko Kut,23,Trat,11.799,102.451
Khao Khram,8101,Mueang Krabi,81,Krabi,8.217,98.725
Sattahip,2009,Sattahip,20,Chon Buri,12.617,100.881
Hat Sai Ri,8601,Mueang Chumphon,86,Chumphon,10.376,99.322
Ko Phra Thong,8206,Khura Buri,82,Phang-nga,8.569,97.636
Bo Hin,9205,Sikao,92,Trang,7.547,99.279
Ko Phayam,8501,Mueang Ranong,85,Ranong,9.717,98.423
Ko Pha-Ngan,8405,Ko Pha-ngan,84,Surat Thani,9.709,99.973
Phru Nai,8202,Ko Yao,82,Phang-nga,7.892,98.581
Talat Yot,1001,Phra Nakhon,10,Bangkok,13.76,100.498
Kram,2103,Klaeng,21,Rayong,12.569,101.7
,9204,Palian,92,Trang,7.152,99.651
Hat Sai Ri,8601,Mueang Chumphon,86,Chumphon,10.323,99.28
Ao Nang,8101,Mueang Krabi,81,Krabi,7.821,98.774
Ko Phra Thong,8206,Khura Buri,82,Phang-nga,9.477,97.904
Ko Si Boya,8108,Nuea Khlong,81,Krabi,7.801,98.995
Khlong Khut,2203,Tha Mai,22,Chanthaburi,12.512,101.95
Tase,9210,Hat Samran,92,Trang,7.118,99.426
Chum Kho,8603,Pathio,86,Chumphon,10.701,99.41
Wat Ratchabophit,1001,Phra Nakhon,10,Bangkok,13.75,100.499
Sattahip,2009,Sattahip,20,Chon Buri,12.676,100.823
Thep Krasattri,8303,Thalang,83,Phuket,8.108,98.405
Ko Si Boya,8108,Nuea Khlong,81,Krabi,7.869,99.044
Pak Tako,8608,Thung Tako,86,Chumphon,10.145,99.178
Ko Si Boya,8108,Nuea Khlong,81,Krabi,7.808,98.991
Khao Thong,8101,Mueang Krabi,81,Krabi,8.106,98.707
Ao Nang,8101,Mueang Krabi,81,Krabi,7.817,98.795
Ko Si Boya,8108,Nuea Khlong,81,Krabi,7.879,99.046
Ang Thong,8404,Ko Samui,84,Surat Thani,9.446,99.652
Pa Khlok,8303,Thalang,83,Phuket,8.028,98.461
Khao Thong,8101,Mueang Krabi,81,Krabi,8.12,98.678
Ao Luek Noi,8105,Ao Luek,81,Krabi,8.297,98.694
Ang Thong,8404,Ko Samui,84,Surat Thani,9.783,99.673
Ko Sarai,9101,Mueang Satun,91,Satun,6.694,99.858
Tha Kham,9204,Palian,92,Trang,7.127,99.699
Ko Pha-Ngan,8405,Ko Pha-ngan,84,Surat Thani,9.706,99.948
Ko Klang,8103,Ko Lanta,81,Krabi,7.746,99.126
Ko Si Boya,8108,Nuea Khlong,81,Krabi,7.847,98.983
Samran Rat,1001,Phra Nakhon,10,Bangkok,13.751,100.503
Bo Phut,8404,Ko Samui,84,Surat Thani,9.539,100.081
Ko Phra Thong,8206,Khura Buri,82,Phang-nga,8.828,97.802
Khlong Yang,8103,Ko Lanta,81,Krabi,7.855,99.053
Ko Lanta Yai,8103,Ko Lanta,81,Krabi,7.496,99.12
Tase,9210,Hat Samran,92,Trang,7.108,99.428
Khao Khram,8101,Mueang Krabi,81,Krabi,8.217,98.73
Ko Chang,2307,Ko Chang,23,Trat,12.161,102.247
Bang Sare,2009,Sattahip,20,Chon Buri,12.761,100.844
Ko Phayam,8501,Mueang Ranong,85,Ranong,9.782,98.447
Ko Proet,2206,Laem Sing,22,Chanthaburi,12.409,102.122
Ko Sarai,9101,Mueang Satun,91,Satun,6.543,99.261
Ko Phayam,8501,Mueang Ranong,85,Ranong,9.736,98.486
Ang Thong,8404,Ko Samui,84,Surat Thani,9.667,99.666
Khao Thong,8101,Mueang Krabi,81,Krabi,8.101,98.69
Ko Sarai,9101,Mueang Satun,91,Satun,6.716,99.887
Ko Phayam,8501,Mueang Ranong,85,Ranong,9.866,98.472
Taling Ngam,8404,Ko Samui,84,Surat Thani,9.31,99.892
Kram,2103,Klaeng,21,Rayong,12.611,101.687
Ko Sarai,9101,Mueang Satun,91,Satun,6.521,99.699
Ko Sarai,9101,Mueang Satun,91,Satun,6.523,99.692
Chana Songkhram,1001,Phra Nakhon,10,Bangkok,13.762,100.495
Ko Phayam,8501,Mueang Ranong,85,Ranong,9.769,98.464
Taling Ngam,8404,Ko Samui,84,Surat Thani,9.314,99.913
Ang Thong,8404,Ko Samui,84,Surat Thani,9.679,99.681
Rawai,8301,Mueang Phuket,83,Phuket,7.76,98.392
Nakha,8505,Suk Samran,85,Ranong,9.514,98.36
Si Yaek Maha Nak,1002,Dusit,10,Bangkok,13.758,100.517
Ao Luek Noi,8105,Ao Luek,81,Krabi,8.294,98.699
Rawai,8301,Mueang Phuket,83,Phuket,7.757,98.331
Ko Lanta Noi,8103,Ko Lanta,81,Krabi,7.613,99.149
Ko Phra Thong,8206,Khura Buri,82,Phang-nga,9.421,97.83
Ko Mak,2306,Ko Kut,23,Trat,11.774,102.392
Ko Sarai,9101,Mueang Satun,91,Satun,6.698,99.841
Taling Ngam,8404,Ko Samui,84,Surat Thani,9.37,99.977
Nakha,8505,Suk Samran,85,Ranong,9.569,98.384
Khlong Prasong,8101,Mueang Krabi,81,Krabi,7.972,98.809
,1008,Pom Prap Sattruphai,10,Bangkok,13.752,100.507
Rawai,8301,Mueang Phuket,83,Phuket,7.485,98.316
Pa Khlok,8303,Thalang,83,Phuket,8.06,98.446
Pak Nam,8501,Mueang Ranong,85,Ranong,9.902,98.512
Khlong Yang,8103,Ko Lanta,81,Krabi,7.833,99.02
Ban Phan Thom,1001,Phra Nakhon,10,Bangkok,13.762,100.503
,8301,Mueang Phuket,83,Phuket,7.829,98.415
Pak Nam,8501,Mueang Ranong,85,Ranong,9.931,98.483
,1013,Samphanthawong,10,Bangkok,13.734,100.513
,1008,Pom Prap Sattruphai,10,Bangkok,13.749,100.512
Bang Khun Phrom,1001,Phra Nakhon,10,Bangkok,13.765,100.505
Ban Khot,2001,Mueang Chon Buri,20,Chon Buri,13.376,100.99
Kamphuan,8505,Suk Samran,85,Ranong,9.436,98.352
Mai Fat,9205,Sikao,92,Trang,7.494,99.302
,1008,Pom Prap Sattruphai,10,Bangkok,13.759,100.511
Samae San,2009,Sattahip,20,Chon Buri,12.521,100.97
,1013,Samphanthawong,10,Bangkok,13.739,100.511
Khlong Prasong,8101,Mueang Krabi,81,Krabi,7.954,98.806
Ko Sarai,9101,Mueang Satun,91,Satun,6.709,99.894
Bowon Niwet,1001,Phra Nakhon,10,Bangkok,13.757,100.501
,1004,Bang Rak,10,Bangkok,13.725,100.514
Ko Kaeo,8301,Mueang Phuket,83,Phuket,7.953,98.451
,1013,Samphanthawong,10,Bangkok,13.741,100.504
Ko Sarai,9101,Mueang Satun,91,Satun,6.584,99.455
Wat Sam Phraya,1001,Phra Nakhon,10,Bangkok,13.768,100.499
Khao Thong,8101,Mueang Krabi,81,Krabi,8.079,98.677
Sattahip,2009,Sattahip,20,Chon Buri,12.644,100.889
Bang Nam Chuet,8604,Lang Suan,86,Chumphon,10.051,99.188
,1008,Pom Prap Sattruphai,10,Bangkok,13.753,100.513
Ko Sarai,9101,Mueang Satun,91,Satun,6.564,99.345
Thong Nian,8015,Khanom,80,Nakhon Si Thammarat,9.324,99.775
,1004,Bang Rak,10,Bangkok,13.727,100.527
,1008,Pom Prap Sattruphai,10,Bangkok,13.743,100.514
Krok Krak,7401,Mueang Samut Sakhon,74,Samut Sakhon,13.533,100.276
Ang Thong,8404,Ko Samui,84,Surat Thani,9.548,99.663
,1004,Bang Rak,10,Bangkok,13.734,100.52
Khlong Yang,8103,Ko Lanta,81,Krabi,7.848,99.069
Bang Hin,8503,Papoe,85,Ranong,9.575,98.515
Ko Phra Thong,8206,Khura Buri,82,Phang-nga,9.371,97.866
Ko Klang,8103,Ko Lanta,81,Krabi,7.738,99.126
Ang Thong,8404,Ko Samui,84,Surat Thani,9.612,99.712
,1015,Thon Buri,10,Bangkok,13.731,100.49
Bang Chan,2202,Khlung,22,Chanthaburi,12.292,102.239
Ko Sarai,9101,Mueang Satun,91,Satun,6.714,99.878
Taling Ngam,8404,Ko Samui,84,Surat Thani,9.307,99.961
Ang Thong,8404,Ko Samui,84,Surat Thani,9.429,99.671
,1018,Khlong San,10,Bangkok,13.731,100.497
Dan Sawi,8607,Sawi,86,Chumphon,10.254,99.256
Ang Thong,8404,Ko Samui,84,Surat Thani,9.698,99.675
Ko Phra Thong,8206,Khura Buri,82,Phang-nga,8.593,97.63
Wang Burapha Phirom,1001,Phra Nakhon,10,Bangkok,13.744,100.499
Samae San,2009,Sattahip,20,Chon Buri,12.586,100.963
Makham Yong,2001,Mueang Chon Buri,20,Chon Buri,13.372,100.985
Ang Thong,8404,Ko Samui,84,Surat Thani,9.658,99.681
,1015,Thon Buri,10,Bangkok,13.737,100.493
Ko Phra Thong,8206,Khura Buri,82,Phang-nga,8.673,97.638
,1004,Bang Rak,10,Bangkok,13.73,100.525
Ko Lanta Noi,8103,Ko Lanta,81,Krabi,7.589,99.144
Ko Si Boya,8108,Nuea Khlong,81,Krabi,7.886,99.052
Laem Sak,8105,Ao Luek,81,Krabi,8.235,98.642
Ko Sarai,9101,Mueang Satun,91,Satun,6.683,99.863
,1022,Phasi Charoen,10,Bangkok,13.727,100.457
Hat Sai Ri,8601,Mueang Chumphon,86,Chumphon,10.395,99.345
Sena,1412,Sena,14,Phra Nakhon Si Ayutthaya,14.328,100.404
,1016,Bangkok Yai,10,Bangkok,13.743,100.486
Tha Hin,1601,Mueang Lop Buri,16,Lop Buri,14.802,100.611
Tase,9210,Hat Samran,92,Trang,7.047,99.471
Ko Sarai,9101,Mueang Satun,91,Satun,6.704,99.877
Ko Sarai,9101,Mueang Satun,91,Satun,6.715,99.81
,1018,Khlong San,10,Bangkok,13.735,100.504
Talat,1104,Phra Pradaeng,11,Samut Prakarn,13.656,100.533
Bang Kaeo,1501,Mueang Ang Thong,15,Ang Thong,14.588,100.459
Ang Thong,8404,Ko Samui,84,Surat Thani,9.649,99.668
Ko Klang,8103,Ko Lanta,81,Krabi,7.706,99.117
,1037,Rat Thewi,10,Bangkok,13.752,100.528
Sattahip,2009,Sattahip,20,Chon Buri,12.638,100.871
,1022,Phasi Charoen,10,Bangkok,13.727,100.45
,1019,Taling Chan,10,Bangkok,13.76,100.456
Nakha,8505,Suk Samran,85,Ranong,9.544,98.482
Kamang,1401,Phra Nakhon Si Ayutthaya,14,Phra Nakhon Si Ayutthaya,14.341,100.581
Pak Nam,8501,Mueang Ranong,85,Ranong,9.916,98.514
Bang Hin,8503,Papoe,85,Ranong,9.577,98.485
Wachira Phayaban,1002,Dusit,10,Bangkok,13.778,100.505
Ko Sarai,9101,Mueang Satun,91,Satun,6.567,99.45
,1007,Pathum Wan,10,Bangkok,13.744,100.52
,1037,Rat Thewi,10,Bangkok,13.757,100.538
A Noru,9401,Mueang Pattani,94,Pattani,6.87,101.256
Ang Thong,8404,Ko Samui,84,Surat Thani,9.469,99.67
Talat Luang,1501,Mueang Ang Thong,15,Ang Thong,14.592,100.453
,1015,Thon Buri,10,Bangkok,13.72,100.482
Samae San,2009,Sattahip,20,Chon Buri,12.52,100.956
Phra Sing,5001,Mueang Chiang Mai,50,Chiang Mai,18.785,98.985
Ao Nang,8101,Mueang Krabi,81,Krabi,7.681,98.768
Khlong Khanan,8108,Nuea Khlong,81,Krabi,7.941,99.072
Ko Sarai,9101,Mueang Satun,91,Satun,6.699,99.909
Chabang Tiko,9401,Mueang Pattani,94,Pattani,6.857,101.251
Wat Sing,1803,Wat Sing,18,Chai Nat,15.263,100.041
,1007,Pathum Wan,10,Bangkok,13.742,100.526
Ho Rattana Chai,1401,Phra Nakhon Si Ayutthaya,14,Phra Nakhon Si Ayutthaya,14.354,100.578
,1020,Bangkok Noi,10,Bangkok,13.759,100.481
Tha Wasukri,1401,Phra Nakhon Si Ayutthaya,14,Phra Nakhon Si Ayutthaya,14.361,100.552
Lang Suan,8604,Lang Suan,86,Chumphon,9.95,99.09
Hai Ya,5001,Mueang Chiang Mai,50,Chiang Mai,18.777,98.984
,1031,Bang Kho Laem,10,Bangkok,13.706,100.508
Sano Loi,1204,Bang Bua Thong,12,Nonthaburi,13.914,100.422
Rawai,8301,Mueang Phuket,83,Phuket,7.517,98.331
Bang Hin,8503,Papoe,85,Ranong,9.58,98.466
Ko Phra Thong,8206,Khura Buri,82,Phang-nga,8.565,97.626
Kamphuan,8505,Suk Samran,85,Ranong,9.483,98.377
Ko Kut,2306,Ko Kut,23,Trat,11.719,102.519
,1004,Bang Rak,10,Bangkok,13.724,100.53
Hat Sai Ri,8601,Mueang Chumphon,86,Chumphon,10.439,99.292
Phra Borom Maha Ratchawang,1001,Phra Nakhon,10,Bangkok,13.751,100.492
Ko Phayam,8501,Mueang Ranong,85,Ranong,9.704,98.506
Chang Moi,5001,Mueang Chiang Mai,50,Chiang Mai,18.796,98.996
,1015,Thon Buri,10,Bangkok,13.715,100.473
Ko Phra Thong,8206,Khura Buri,82,Phang-nga,8.486,97.634
Ko Lanta Yai,8103,Ko Lanta,81,Krabi,7.537,99.127
,1020,Bangkok Noi,10,Bangkok,13.774,100.466
Ko Phra Thong,8206,Khura Buri,82,Phang-nga,8.507,97.632
Ko Libong,9202,Kantang,92,Trang,7.314,99.253
Ko Phra Thong,8206,Khura Buri,82,Phang-nga,9.07,97.812
,1022,Phasi Charoen,10,Bangkok,13.722,100.464
Phu Khao Thong,1401,Phra Nakhon Si Ayutthaya,14,Phra Nakhon Si Ayutthaya,14.365,100.542
Rawai,8301,Mueang Phuket,83,Phuket,7.743,98.378
Ko Lanta Noi,8103,Ko Lanta,81,Krabi,7.63,99.145
Tha Chalom,7401,Mueang Samut Sakhon,74,Samut Sakhon,13.538,100.269
Nai Mueang,1801,Mueang Chai Nat,18,Chai Nat,15.181,100.127
Si Phanom Mat,5308,Laplae,53,Uttaradit,17.652,100.039
Bara Hom,9401,Mueang Pattani,94,Pattani,6.873,101.317
Suan Chit Lada,1002,Dusit,10,Bangkok,13.767,100.52
Ko Sarai,9101,Mueang Satun,91,Satun,6.662,99.849
,1018,Khlong San,10,Bangkok,13.725,100.508
Bang Sai,2001,Mueang Chon Buri,20,Chon Buri,13.393,100.996
Pak Khlong,8603,Pathio,86,Chumphon,10.856,99.487
