TAMBON_E,AM_ID,AMPHOE_E,CH_ID,CHANGWAT_E,LAT,LONG
That,4708,Wanon Niwat,47,Sakon Nakhon,17.641,103.651
Tha Sila,4713,Song Dao,47,Sakon Nakhon,17.284,103.387
Khok Charoen,1609,Khok Charoen,16,Lop Buri,15.408,100.777
Kok Du,4201,Mueang Loei,42,Loei,17.604,101.635
Na Wa,4016,Phu Wiang,40,Khon Kaen,16.721,102.572
Kapoe,8503,Papoe,85,Ranong,9.623,98.621
Kaset Suwan,2010,Bo Thong,20,Chon Buri,13.326,101.526
Pa Yup Nai,2104,Wang Chan,21,Rayong,13.005,101.479
Takhian Pom,5105,Thung Hua Chang,51,Lamphun,18.106,99.025
Waritchaphum,4706,Waritchaphum,47,Sakon Nakhon,17.232,103.642
Samran,4615,Sam Chai,46,Kalasin,16.954,103.522
Kok Pla Sio,4718,Phu Phan,47,Sakon Nakhon,16.969,104.042
Sai Thong,8418,Chai Buri,84,Surat Thani,8.389,99.073
Khao Luang,4209,Wang Saphung,42,Loei,17.336,101.674
Nam Kum,6502,Nakhon Thai,65,Phitsanulok,17.398,100.866
Phu Kradueng,4210,Phu Kradueng,42,Loei,16.971,101.85
Bot,3015,Phimai,30,Nakhon Ratchasima,15.215,102.628
Sahakon Nikhom,7107,Thong Pha Phum,71,Kanchanaburi,14.735,98.763
,3804,Seka,38,Bueng Kan,17.964,103.945
Sap Poep,6710,Wang Pong,67,Phetchabun,16.362,100.918
Mae Phung,5407,Wang Chin,54,Phrae,17.866,99.539
Somdet Charoen,7112,Nong Prue,71,Kanchanaburi,14.746,99.338
Nong Bua,2105,Ban Khai,21,Rayong,12.906,101.373
Phai Thon,5402,Mueang Phrae,54,Phrae,18.32,100.464
Krut,8417,Phunphin,84,Surat Thani,8.949,99.126
Khok Takhian,3206,Kap Choeng,32,Surin,14.48,103.505
Lat Bua Khao,3020,Si Khio,30,Nakhon Ratchasima,14.823,101.629
Nong Fai,7110,Lao Khwan,71,Kanchanaburi,14.682,99.642
Mai Fat,9205,Sikao,92,Trang,7.505,99.369
Don Thong,6501,Mueang Phitsanulok,65,Phitsanulok,16.884,100.392
Hin Hao,6704,Lom Kao,67,Phetchabun,16.951,101.215
Cho Hae,5401,Mueang Phrae,54,Phrae,17.954,100.323
Sathan,5504,Na Noi,55,Nan,18.236,100.745
Khao Kaeo,2203,Tha Mai,22,Chanthaburi,12.867,101.939
Bak Dai,3214,Phanom Dong Rak,32,Surin,14.416,103.35
Ban Kong,4122,Na Yung,41,Udon Thani,17.821,102.079
Sop Prap,5211,Sop Prap,52,Lampang,17.835,99.344
Ban Fa,5503,Ban Luang,55,Nan,18.782,100.429
Khao Daeng,9006,Saba Yoi,90,Songkhla,6.505,100.802
Pha Tang,4308,Sangkhom,43,Nong Khai,17.996,102.328
Udom Thanya,6012,Tak Fa,60,Nakhon Sawan,15.479,100.407
Bo-Ngo,9605,Ra-ngae,96,Narathiwat,6.172,101.753
Pong Tao,5205,Ngao,52,Lampang,18.839,99.927
Tha Pla,5303,Tha Pla,53,Uttaradit,17.845,100.448
Mae Chedi,5711,Wiang Pa Pao,57,Chiang Rai,19.164,99.367
Nam Rop,6107,Lan Sak,61,Uthai Thani,15.534,99.605
Mae Yuam Noi,5802,Khun Yuam,58,Mae Hong Son,18.742,98.051
Bang Phra,2007,Si Racha,20,Chon Buri,13.223,101.007
Lat Takhian,2502,Kabin Buri,25,Prachin Buri,13.873,101.658
Song,3409,Nam Yuen,34,Ubon Ratchathani,14.46,104.947
Khok Kong,3702,Chanuman,37,Amnat Charoen,16.066,104.97
Na Hu Kwang,7703,Thap Sakae,77,Prachuap Khiri Khan,11.537,99.499
Khao Kho,6711,Khao kho,67,Phetchabun,16.631,100.999
Dan Makham Tia,7111,Dan Makham Tia,71,Kanchanaburi,13.836,99.388
Wang Chin,5407,Wang Chin,54,Phrae,17.861,99.647
Mae Waen,5011,Phrao,50,Chiang Mai,19.303,99.261
Ma Mong,9609,Sukhirin,96,Narathiwat,5.876,101.764
Phela,8104,Khlong Thom,81,Krabi,8.075,99.139
Khok Han,8102,Khao Phanom,81,Krabi,8.188,99.252
Ban Luang,5010,Mae Ai,50,Chiang Mai,19.871,99.343
Khao Chaiyarat,8603,Pathio,86,Chumphon,10.939,99.349
Santi Khiri,5805,Mae La Noi,58,Mae Hong Son,18.508,97.992
Bo Phloi,2304,Bo Rai,23,Trat,12.604,102.559
Khlong Hoi Khong,9016,Khlong Hoi Khong,90,Songkhla,6.83,100.313
Kritsana,3020,Si Khio,30,Nakhon Ratchasima,15.046,101.556
Mae Pan,5403,Long,54,Phrae,17.986,99.871
Si Thep,6706,Si Thep,67,Phetchabun,15.439,101.14
Thap Kung,4121,Nong Saeng,41,Udon Thani,17.182,102.737
Ban Kha,7010,Ban Kha,70,Ratchaburi,13.418,99.386
Si Khiri Mat,6403,Khiri Mat,64,Sukhothai,16.827,99.706
Nong Bua,4612,Nong Kung Si,46,Kalasin,16.728,103.376
Thung Kracho,6302,Ban Tak,63,Tak,16.973,98.967
Song Khon,5305,Fak Tha,53,Uttaradit,17.955,100.906
Sanna Nong Mai,5507,Wiang Sa,55,Nan,18.531,100.996
Chan Thuek,3021,Pak Chong,30,Nakhon Ratchasima,14.806,101.456
Chang Sai,8402,Kanchanadit,84,Surat Thani,9.02,99.478
Nong Sano,3410,Boontharik,34,Ubon Ratchathani,14.771,105.288
Le,8203,Kapong,82,Phang-nga,8.734,98.507
Mueang Mai,5206,Chae Hom,52,Lampang,18.645,99.725
Mae Faek Mai,5014,San Sai,50,Chiang Mai,19.026,99.007
Ko Sarai,9101,Mueang Satun,91,Satun,6.628,99.647
Khlong Muang,3021,Pak Chong,30,Nakhon Ratchasima,14.647,101.649
Li Phang,9204,Palian,92,Trang,7.184,99.81
Kham Bong,4614,Huai Phueng,46,Kalasin,16.758,103.912
Don Yang,8603,Pathio,86,Chumphon,10.861,99.354
I Pum,4205,Dan Sai,42,Loei,17.187,101.254
Na Pong,5208,Thoen,52,Lampang,17.651,99.116
Non Sombun,3003,Soeng Sang,30,Nakhon Ratchasima,14.278,102.398
Mae Lao,5603,Chiang Kham,56,Phayao,19.432,100.451
Samoeng Nuea,5008,Samoeng,50,Chiang Mai,18.977,98.739
Thap Prik,8101,Mueang Krabi,81,Krabi,8.203,98.886
Huai Rong,5402,Mueang Phrae,54,Phrae,18.432,100.513
Nong Kula,6504,Bang Rakam,65,Phitsanulok,16.636,99.96
Kut Prathai,3407,Det Udom,34,Ubon Ratchathani,14.966,105.196
Si Thoi,5710,Mae Suai,57,Chiang Rai,19.677,99.317
,6705,Wichian Buri,67,Phetchabun,15.53,100.92
Ban Pao,5006,Mae Taeng,50,Chiang Mai,19.218,99.047
Mueang Ngai,5004,Chiang Dao,50,Chiang Mai,19.477,98.833
Ban Haeng,5205,Ngao,52,Lampang,18.782,100.054
Huai Raeng,2301,Mueang Trat,23,Trat,12.387,102.56
Pak Phraek,8403,Don Sak,84,Surat Thani,9.134,99.701
Mae Saruai,5710,Mae Suai,57,Chiang Rai,19.676,99.56
Huai Yai,2004,Bang Lamung,20,Chon Buri,12.835,100.985
Mae Ngon,5009,Fang,50,Chiang Mai,19.793,99.124
แม่แดด,5025,Kanlayaniwatthana,50,Chiang Mai,18.936,98.38
Mae Ka,5601,Mueang Phayao,56,Phayao,19.049,99.917
Lam Phli,9005,Thepha,90,Songkhla,6.721,100.93
Lum Sum,7102,Sai Yok,71,Kanchanaburi,14.104,99.133
Nong Ya Plong,7603,Nong Ya Plong,76,Phetchaburi,13.201,99.709
Pong,4205,Dan Sai,42,Loei,17.156,101.198
Kaeng Hang Maeo,2208,Kaeng Hang Maeo,22,Chanthaburi,12.982,101.929
Ban Rai,6011,Lat Yao,60,Nakhon Sawan,15.873,99.791
Bang Khan,8017,Bang Khan,80,Nakhon Si Thammarat,8.069,99.422
Nong Krat,3008,Dan Khun Thot,30,Nakhon Ratchasima,15.348,101.667
Na Yang,5211,Sop Prap,52,Lampang,17.904,99.266
Non Mak Kheng,2705,Watthana Nakhon,27,Sa kaeo,13.824,102.315
Yot,5513,Song Khwae,55,Nan,19.384,100.567
,3804,Seka,38,Bueng Kan,18.099,103.946
Ban Tok,6701,Mueang Phetchabun,67,Phetchabun,16.347,101.056
Tanyong Po,9101,Mueang Satun,91,Satun,6.589,99.936
Phak Khuang,5309,Thong Saen Khan,53,Uttaradit,17.535,100.415
Luang Nuea,5005,Doi Saket,50,Chiang Mai,18.965,99.141
Mittraphap,1911,Muak Lek,19,Saraburi,14.474,101.213
Khao Kala,6010,Phayuha Hkiri,60,Nakhon Sawan,15.542,100.316
Sala Lai,7708,Sam Roi Yot,77,Prachuap Khiri Khan,12.271,99.593
Phra Phloeng,2707,Khao Chakan,27,Sa kaeo,13.596,102.042
Ban Mang,5604,Chiang Muan,56,Phayao,18.869,100.22
Krabi Noi,8101,Mueang Krabi,81,Krabi,8.176,98.959
Mueang Kao,6401,Mueang Sukhothai,64,Sukhothai,17.021,99.682
